Número_punt_crític,Nom_Districte,Nom_Barri,Nom_Carrer,Número,Latitud,Longitud,Motiu,Nombre_visites_març_2018,Estat_març_2018,Nombre_visites_abril_2018,Estat_abril_2018,Nombre_visites_maig_2018,Estat_maig_2018,Nombre_visites_juny_2018,Estat_juny_2018,Nombre_visites_Juliol_2018,Estat_Juliol_2018,Nombre_visites_Agost_2018,Estat_Agost_2018,Nombre_visites_Setembre_2018,Estat_Setembre_2018,Nombre_visites_Octubre_2018,Estat_Octubre_2018,Nombre_visites_novembre_2018,Estat_novembre_2018,Nombre_visites_desembre_2018,Estat_desembre_2018
249,Sant Martí,el Camp de l'Arpa del Clot,Carrer Mallorca ,588,41.410325,2.184763,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,7,4.86,2,5,2,6,2,3.5,2,7,3,1.33
250,Sant Martí,el Camp de l'Arpa del Clot,Carrer de Josepa Massanes ,3,41.411416,2.183589,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,2,3,0.33,2,0,2,1,2,3,3,4
251,Sant Martí,el Poblenou,Carrer Pallars ,232,41.402755,2.200168,Alt ús de l’espai públic,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,7,18.29,3,5.33,8,9,10,3.3,9,2.67,7,6.14
252,Sant Martí,el Poblenou,Carrer Pujades ,177,41.402071,2.200901,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,7,7.29,3,5.33,8,7.25,10,3.1,9,6.11,7,6.29
253,Sant Martí,el Poblenou,Carrer de Ramon Turró ,183,41.399658,2.202284,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,7,10.43,3,6.33,9,2.89,10,2.4,9,2.56,8,4.75
254,Sant Martí,Provençals del Poblenou,Carrer Joan de Malta ,58,41.407442,2.194154,Alt ús de l’espai públic,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,7,12.86,3,3.67,2,14,2,4.5,2,4.5,2,4.5
255,Sant Martí,Provençals del Poblenou,Carrer Bac de Roda ,170,41.411586,2.198891,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,16.67,2,7.5,9,11.22,9,9.22,10,3.7,8,7.75
256,Sant Martí,Provençals del Poblenou,Carrer Bilbao ,191,41.408839,2.195284,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,7,14.57,2,5,2,6.5,2,18.5,2,8,2,12.5
257,Sant Martí,la Verneda i la Pau,Rambla Guipúscoa ,160,41.423098,2.206359,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,7,7.14,2,2,2,4,2,11,2,4.5,3,5.33
258,Sant Martí,el Besòs i el Maresme,Carrer del Maresme ,140,41.416445,2.210444,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,42.33,3,9,2,6,2,13,1,4,3,8.67
259,Sant Martí,la Verneda i la Pau,Carrer Andrade ,206,41.418076,2.204435,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,3,5,2,4,2,1,2,7.5,2,0,3,2
260,Eixample,el Fort Pienc,Jardins Antiga Carretera d'Horta,,41.393964,2.180279,Propietaris d'animals incívics,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,2,0,2,2,2,2.5,3,2
261,Sants,el Poble Sec,Carrer Elkano ,68,41.373924,2.1611392,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,9,11.56,10,5.8,11,2.55,8,4.38
262,Nou Barris,les Roquetes,Carrer Jaume Pinent,2,41.446143,2.176499,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,2,2,1,0,2,16.5,3,4.33
