Número_punt_crític,Nom_Districte,Nom_Barri,Nom_Carrer,Número,Latitud,Longitud,Motiu,Nombre_visites_març_2018,Estat_març_2018,Nombre_visites_abril_2018,Estat_abril_2018,Nombre_visites_maig_2018,Estat_maig_2018,Nombre_visites_juny_2018,Estat_juny_2018,Nombre_visites_Juliol_2018,Estat_Juliol_2018,Nombre_visites_Agost_2018,Estat_Agost_2018,Nombre_visites_Setembre_2018,Estat_Setembre_2018,Nombre_visites_Octubre_2018,Estat_Octubre_2018,Nombre_visites_novembre_2018,Estat_novembre_2018,Nombre_visites_desembre_2018,Estat_desembre_2018
79,Sarrià Sant Gervasi,Sant Gervasi - Galvany,Carrer de Lincoln,9,41.400241,2.150296,Mala praxi comercial,4,24.5,5,5.8,3,16.33,6,23.47,6,10.17,4,10.25,9,11.67,10,4.6,11,4.45,5,1.8
80,Sarrià Sant Gervasi,Sant Gervasi - Galvany,Carrer d'Aribau ,216,41.394862,2.150966,Mala praxi comercial,4,7.75,5,16.8,3,2.33,6,15.97,6,2.5,4,0.75,10,0.7,11,4.18,9,8.33,7,8.43
81,Gràcia,la Vila de Gràcia,Carrer Bonavista ,30,41.398845,2.160707,Mala praxi comercial,5,10.2,4,2,7,7.71,7,2.43,5,3,3,1.33,10,5,11,6,10,5.2,8,5.5
82,Gràcia,la Vila de Gràcia,Carrer de Sèneca ,2,41.397689,2.157273,Mal ús de contenidors i/o papereres,6,6.67,4,20.25,7,9.43,7,7,4,13.5,4,3.75,8,5.5,11,4.55,11,5.55,8,7.38
83,Gràcia,la Vila de Gràcia,Plaça del Poble Romaní,1,41.401859,2.160601,Propietaris d'animals incívics,5,3.6,4,7,7,2,7,2.57,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
84,Gràcia,la Vila de Gràcia,Plaça de la Vila de Gràcia,,41.4002451,2.1573186,Mal ús de contenidors i/o papereres,6,1.33,4,4,7,3.29,7,3.71,5,10.6,4,1,2,0,2,4,2,11,3,5.67
85,Gràcia,la Vila de Gràcia,Carrer Astúries ,20,41.403019,2.153874,Mala praxi comercial,7,12.57,4,9,7,9.14,7,4.14,6,6.5,4,4.25,8,4.88,11,9.82,11,8.36,7,9.71
86,Gràcia,la Vila de Gràcia,Carrer Torrent de l'Olla ,118,41.402183,2.157231,Mala praxi comercial,7,8.86,4,12.25,5,12,5,6.6,6,7.83,5,8.2,8,7.88,11,4.27,11,3.18,8,3.88
87,Gràcia,la Vila de Gràcia,Carrer Montseny,17,41.401969,2.154724,Mala praxi comercial,7,5.14,4,14,7,7.21,7,4.71,4,3.75,4,4.5,2,2.5,2,7,2,10,3,3.67
88,Gràcia,la Vila de Gràcia,Plaça Llibertat,,41.3997803,2.1539004,Mala praxi comercial,7,4.86,4,11.25,6,12.83,7,13.43,7,12.14,4,2.75,2,16.5,3,2.67,2,1.5,3,5.67
89,Gràcia,la Vila de Gràcia,Carrer de Nil i Fabra ,14,41.405879,2.151446,Mala praxi comercial,7,5.86,4,4.25,7,4.71,7,5.14,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
90,Gràcia,la Vila de Gràcia,Plaça Lesseps ,12,41.407152,2.151195,Mal ús de la recollida pneumàtica,7,1.57,4,1,7,2,7,0.29,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
91,Gràcia,Vallcarca i els Penitents,Avinguda Vallcarca ,18,41.408519,2.149123,Mal ús de la recollida pneumàtica,7,0.86,4,0,7,0.29,7,0.43,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
92,Gràcia,la Vila de Gràcia,Travessera de Dalt ,26,41.408468,2.153044,Mal ús de la recollida pneumàtica,7,7.57,3,6.33,7,3,7,3,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
93,Gràcia,la Vila de Gràcia,Rambla del Prat ,1,41.401826,2.152743,Mal ús de la recollida pneumàtica,6,1,4,5,6,5.83,7,0.57,7,0.86,4,1,2,0,2,0,2,0,3,0
94,Gràcia,la Vila de Gràcia,Carrer Carolines,4,41.403895,2.151535,Mala praxi comercial,6,12.17,4,15,7,14.29,7,10.29,8,11.75,3,3.67,9,6,11,6.73,11,5.45,7,5.29
95,Gràcia,la Vila de Gràcia,Carrer Berga,32,41.400966,2.152673,Mala praxi comercial,6,6.83,4,23,7,4.14,7,5.14,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
96,Gràcia,la Vila de Gràcia,Carrer Gran de gracia ,159,41.402724,2.152389,Mal ús de contenidors i/o papereres,6,10.83,4,7.88,7,13.71,7,15.43,6,4,3,0.67,7,8.86,11,10.36,11,10.18,7,4
97,Horta Guinardó,la Teixonera,Carrer de Santa Rosalia,53,41.421926,2.147103,Mala praxi comercial,6,2.17,4,4.75,9,4.67,10,9.27,5,2.8,1,4,2,1,2,0,2,3,2,1
98,Horta Guinardó,el Carmel,Carrer de Batet,1,41.421115,2.150347,Mal ús de contenidors i/o papereres,6,2.83,4,4.25,9,4,10,14.38,6,9,3,1.33,8,7.13,10,5.3,11,5.64,8,5.75
99,Horta Guinardó,el Carmel,Plaça Salvador Allende,,41.4202734,2.1517337,Mal ús de contenidors i/o papereres,6,1.5,4,3.25,9,4.44,10,7.25,6,5.33,3,5,2,5,2,2,2,3,3,4
100,Horta Guinardó,el Carmel,Carrer Santuari,49,41.420764,2.152123,Mala praxi comercial,6,0.42,4,0.5,9,1.22,10,2.6,6,2.67,3,0.67,2,0,2,3,2,0,4,3.5
101,Horta Guinardó,el Carmel,Carrer de Sigüenza ,23,41.424481,2.155097,Mal ús de contenidors i/o papereres,5,5,4,3.75,9,10.89,9,16.12,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
102,Horta Guinardó,el Carmel,Plaça Pastrana,,41.42541,2.156265,Mala praxi comercial,6,4.5,4,8.5,9,4.44,10,7.08,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
103,Horta Guinardó,el Carmel,Carrer Dante Alhieri ,108,41.4270623,2.1557068,Mala praxi comercial,6,5.5,4,10.75,8,9.38,10,8.83,6,10,3,3,1,3,2,3.5,2,12,4,9.5
104,Horta Guinardó,Horta,Plaça Eivissa,1,41.42991,2.16126,Mala praxi comercial,5,3,4,6,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
105,Horta Guinardó,el Guinardó,Plaça el Nen de la Rutlla,,41.418791,2.171676,Alt ús de l’espai públic,6,0.33,3,1,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
106,Horta Guinardó,el Congrés i els Indians,Passeig Maragall,168,41.424894,2.17686,"Efecte ""crida""",6,6.5,3,3.33,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
107,Horta Guinardó,el Guinardó,Carrer de Juliol,14,41.417784,2.174285,Mal ús de contenidors i/o papereres,5,9.6,3,2.67,Eliminat,Eliminat,Eliminat,Eliminat,5,8.6,4,3.25,2,2,2,1,2,2.5,1,0
